0.2 124.5459
0.4 64.07544
0.6 43.78105
0.8 33.56718
1 27.4 
2 14.88528 
4 8.4 
6 6.139388 
8 4.967223 
10 4.241518 
20 2.696464 
30 2.126323
40 1.819162 
50 1.623396 
60 1.486031 
70 1.383431 
80 1.303362 
90 1.238813 
100 1.185455 
200 0.916245 
300 0.807502 
400 0.745714 
500 0.704842 
600 0.675341 
700 0.652805 
800 0.634888 
900 0.620215 
1000 0.607921 
2000 0.54323 
4000 0.499392 
6000 0.480472
8000 0.46934 
10000 0.461806 
20000 0.443329
40000 0.430451 
60000 0.424795 
80000 0.421438 
100000 0.419154 
2000000 0.413506
